약국명,우편번호,주소,전화번호,위도,경도
큰곰약국,10275,"경기도 고양시 덕양구 혜음로 9 정호빌딩 1층 2,3호 (고양동)",031-962-5685,37.7015268,126.9015817
7층은약국,14048,경기도 안양시 동안구 시민대로 175 동안프라자빌딩 704-1호 (비산동),031-383-2461,37.3913538,126.9504303
다올약국,7910,서울특별시 양천구 남부순환로40길 7 (신월동),02-2601-0033,37.5349143,126.8281616
솔로몬약국,21930,"인천광역시 연수구 용담로 153 대동월드스포츠센터 2층 201호 일부, 201-1호 (연수동)",032-822-3360,37.4132869,126.6814138
성신약국,16216,"경기도 수원시 장안구 연무로 54 (연무동, 방내과소아과)",031-255-1531,37.2957779,127.0258248
치유약국,22006,인천광역시 연수구 아트센터대로168번길 100 한라 웨스턴파크 송도 152호 (송도동),,37.4060391,126.6289628
지행온누리약국,11346,경기도 동두천시 지행로 59 102호 (지행동),031-864-1475,37.8926971,127.0537856
화양종로약국,5002,서울특별시 광진구 군자로 73 1층 (군자동),02-463-0380,37.5496851,127.0705995
호랑이약국,22008,인천광역시 연수구 인천타워대로 257 아트포레 A동 1층 123호 (송도동),-,37.3938049,126.6332243
건강약국,3076,서울특별시 종로구 혜화로 2 1층 (혜화동),02-764-9918,37.5860916,127.0009187
4층현약국,2645,서울특별시 동대문구 천호대로 425 4층 401호 (장안동),02-2245-3015,37.5618203,127.0664831
서강약국,61627,광주광역시 남구 구성로 46-1 (월산동),062-361-3253,35.1514058,126.9018509
정민약국,57536,전라남도 곡성군 곡성읍 중앙로 99 (),061-363-0343,35.2805907,127.2936221
태평양약국,37166,경상북도 상주시 동수로 161 1층 (무양동),054-536-6668,36.4229222,128.1554266
광혜당약국,35317,대전광역시 서구 도산로 200 (변동),042-527-7573,36.3260547,127.3797397
연합약국,37335,경상북도 의성군 의성읍 북부길 1-1 (),054-995-9897,36.3566007,128.6938383
류약국,42038,대구광역시 수성구 화랑로 46 성원넥서스 지하2층 (만촌동),,35.869891,128.6331534
롯데약국,46243,부산광역시 금정구 구서로 17 1층 (구서동),051-583-6881,35.2466285,129.0890496
태광약국,47569,부산광역시 연제구 과정로164번길 9 (연산동),051-754-9921,35.1861803,129.107769
